"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"9","Eric Staal","BUF, MTL","C","53","780.16666666667","5","8","4","4","13","76.47","82","6.10","8.58","145","111","87","41","3","11","10","5","5","0","0","2","24","17","23","36","15","268","279","48.99"
"61","Kyle Okposo","BUF","R","35","485.85","2","11","6","5","13","65.00","45","4.44","4.12","69","59","40","22","1","5","0","0","0","0","0","3","9","10","29","33","14","26","22","54.17"
"123","Michael Del Zotto","CBJ","D","53","947.98333333333","4","9","3","6","13","29.55","77","5.19","3.34","126","94","34","13","3","9","8","4","4","0","0","1","28","9","125","40","54","0","0","-"
"159","Matt Duchene","NSH","C","34","538.3","6","7","5","2","13","46.43","73","8.22","8.42","126","102","88","42","4","7","6","3","3","0","0","12","15","13","30","25","10","162","139","53.82"
"178","Richard Panik","DET, WSH","R","48","593.55","4","9","5","4","13","59.09","59","6.78","6.13","104","88","61","30","5","8","18","9","9","0","0","8","15","16","70","57","21","6","8","42.86"
"224","Riley Sheahan","BUF","C","53","705","4","9","7","2","13","59.09","44","9.09","3.22","69","54","34","18","0","2","8","4","4","0","0","7","9","11","17","27","15","256","247","50.89"
"256","Ryan Dzingel","CAR, OTT","C, L","40","508.3","8","5","3","2","13","81.25","48","16.67","4.2","97","68","54","23","1","2","21","9","8","1","0","4","9","8","44","34","10","3","9","25.00"
"261","Josh Archibald","EDM","R","52","704.31666666667","7","6","4","2","13","48.15","62","11.29","7.9","103","86","57","33","3","6","37","12","10","1","1","8","15","14","192","66","35","4","4","50.00"
"282","Rocco Grimaldi","NSH","R","40","512.73333333333","10","3","3","0","13","72.22","62","16.13","5.39","112","94","66","22","1","4","4","2","2","0","0","7","11","17","20","26","9","0","2","0.00"
"289","Joel Edmundson","MTL","D","55","1102.6","3","10","3","7","13","23.64","77","3.90","3.5","180","119","43","6","6","8","23","10","9","1","0","8","69","6","98","78","75","0","0","-"
"323","Alex Galchenyuk","OTT, TOR","C, L","34","432.01666666667","5","8","5","3","13","61.90","62","8.06","6.44","100","87","66","33","2","6","20","10","10","0","0","5","16","6","44","53","10","3","3","50.00"
"356","Jordan Martinook","CAR","L","44","561.3","4","9","6","3","13","68.42","62","6.45","6.2","97","83","52","32","6","6","25","11","10","1","0","10","10","11","90","62","20","78","88","46.99"
"362","Brock McGinn","CAR","L","37","554.46666666667","8","5","2","3","13","65.00","58","13.79","5.54","102","81","58","27","1","3","6","3","3","0","0","10","9","16","44","44","12","3","11","21.43"
"432","Artturi Lehkonen","MTL","L","47","630.91666666667","7","6","2","4","13","81.25","78","8.97","5.99","128","100","81","38","5","6","6","3","3","0","0","8","13","3","85","64","23","5","8","38.46"
"453","Curtis Lazar","BOS, BUF","C","50","666.18333333333","7","6","3","3","13","81.25","55","12.73","7.36","91","79","71","36","4","10","6","3","3","0","0","7","7","18","99","62","22","160","175","47.76"
"521","Michael Bunting","ARI","L","21","350.53333333333","10","3","1","2","13","59.09","38","26.32","5.59","62","50","48","27","1","4","12","6","6","0","0","3","5","9","28","26","1","7","5","58.33"
"536","Jake Evans","MTL","C","47","556.25","3","10","6","4","13","72.22","55","5.45","4.25","91","73","56","20","3","5","29","9","7","1","1","15","16","12","79","73","26","203","202","50.12"
"563","Keegan Kolesar","VGK","R","44","420.03333333333","3","10","4","6","13","68.42","46","6.52","5.47","76","66","52","25","4","7","30","9","5","4","0","11","7","9","107","67","15","62","73","45.93"
"587","Lawson Crouse","ARI","L","51","728.88333333333","4","9","8","1","13","59.09","70","5.71","8.65","135","112","88","41","8","8","46","12","8","2","2","13","11","20","155","44","30","20","23","46.51"
"600","John Marino","PIT","D","52","1078.15","3","10","5","5","13","26.00","56","5.36","2.27","106","79","26","4","1","5","8","4","4","0","0","5","21","29","48","94","50","0","0","-"
"609","Derek Ryan","CGY","C","43","511.41666666667","2","11","8","3","13","72.22","37","5.41","5.47","70","60","53","32","3","1","16","8","8","0","0","14","16","20","13","35","21","153","141","52.04"
"774","Erik Brannstrom","OTT","D","30","490.73333333333","2","11","5","6","13","44.83","42","4.76","1.89","93","57","28","3","0","4","25","11","10","1","0","6","31","8","26","63","18","0","0","-"
"786","Alexander Volkov","ANA, T.B","R","37","431","7","6","1","5","13","72.22","35","20.00","4.12","51","43","39","24","1","2","6","3","3","0","0","3","5","11","36","46","26","2","3","40.00"
"852","John Leonard","S.J","L","44","494.85","3","10","7","3","13","72.22","59","5.08","5.04","103","86","58","20","4","9","2","1","1","0","0","2","11","13","25","34","17","0","1","0.00"
"868","Dylan Cozens","BUF","C","41","588.58333333333","4","9","8","1","13","52.00","62","6.45","6.23","102","80","70","33","5","6","16","5","3","2","0","9","20","13","30","50","11","96","106","47.52"
"869","Trevor Zegras","ANA","C","24","369.53333333333","3","10","8","2","13","61.90","53","5.66","4.29","101","75","41","15","0","6","12","6","6","0","0","6","12","6","7","20","4","42","54","43.75"
"29","Alexander Radulov","DAL","R","11","195.68333333333","4","8","6","2","12","52.17","25","16.00","2.98","45","34","33","18","1","3","6","3","3","0","0","3","6","3","4","13","5","1","1","50.00"
"92","Brandon Sutter","VAN","C","43","648.35","9","3","2","1","12","60.00","65","13.85","7.2","94","85","48","26","8","3","2","1","1","0","0","9","14","23","18","46","28","276","221","55.53"
"101","Ryan McDonagh","T.B","D","50","1094.7666666667","4","8","5","3","12","26.09","85","4.71","5.1","160","114","49","13","6","9","14","7","7","0","0","3","20","10","69","44","96","0","0","-"
"201","Christopher Tanev","CGY","D","56","1216.9333333333","2","10","2","8","12","28.57","66","3.03","2.1","122","87","18","4","2","4","6","3","3","0","0","6","57","23","33","111","107","0","0","-"
"218","Derek Forbort","WPG","D","56","1161.15","2","10","4","6","12","25.53","67","2.99","1.76","174","101","36","3","3","10","35","12","10","1","1","2","54","19","80","111","115","0","0","-"
"313","Colin Miller","BUF","D","48","864","4","8","3","5","12","44.44","64","6.25","2.33","139","96","16","2","0","5","27","12","11","1","0","11","25","14","91","53","51","0","0","-"
"339","Jacob Trouba","NYR","D","38","816.66666666667","2","10","5","5","12","34.29","70","2.86","3.63","156","99","45","11","4","12","22","11","11","0","0","7","24","17","111","52","84","0","0","-"
"342","Mikhail Grigorenko","CBJ","C","32","440.11666666667","4","8","6","2","12","66.67","36","11.11","3.8","68","53","38","17","0","3","6","3","3","0","0","3","8","10","14","30","17","9","15","37.50"
"345","Colton Parayko","STL","D","32","682.6","2","10","5","5","12","48.00","60","3.33","1.88","117","80","24","3","2","7","14","7","7","0","0","3","23","13","35","68","64","0","0","-"
"370","Erik Gustafsson","MTL, PHI","D","29","484.66666666667","1","11","6","5","12","46.15","33","3.03","1.51","93","55","14","2","1","8","0","0","0","0","0","2","22","7","21","47","21","0","0","-"
