Player,Age
Niklas Hjalmarsson\\hjalmni01,31
Joshua Ho-Sang\\hosanjo01,23
Mike Hoffman\\hoffmmi02,29
Nick Holden\\holdeni01,31
Justin Holl\\hollju01,27
Korbinian Holzer\\holzeko01,30
Julius Honka\\honkaju01,23
Patric Hornqvist\\hornqpa01,32
Bo Horvat\\horvabo01,23
Brett Howden\\howdebr01,20
Filip Hronek\\hronefi01,21
Jonathan Huberdeau\\huberjo01,25
Charles Hudon\\hudonch01,24
Quinn Hughes\\hughequ01,19
Brad Hunt\\huntbr01,30
Brad Hunt\\huntbr01,30
Brad Hunt\\huntbr01,30
Dryden Hunt\\huntdr01,23
Matt Hunwick\\hunwima01,33
Ben Hutton\\huttobe01,25
Tomas Hyka\\hykato01,25
Zach Hyman\\hymanza01,26
Alex Iafallo\\iafalal01,25
Matt Irwin\\irwinma01,31
Joshua Jacobs\\jacobjo01,22
Mark Jankowski\\jankoma01,24
Mattias Janmark\\janmama02,26
Calle Jarnkrok\\jarnkca01,27
Christian Jaros\\jarosch01,22
Dmitrij Jaskin\\jaskidm01,25
Boone Jenner\\jennebo01,25
Nick Jensen\\jenseni02,28
Nick Jensen\\jenseni02,28
Nick Jensen\\jenseni02,28
Jakub Jerabek\\jerabja01,27
Ryan Johansen\\johanry01,26
Marcus Johansson\\johanma03,28
Marcus Johansson\\johanma03,28
Marcus Johansson\\johanma03,28
Adam Johnson\\johnsad01,24
Erik Johnson\\johnser01,30
Jack Johnson\\johnsja02,32
Luke Johnson\\johnslu01,24
Tyler Johnson\\johnsty01,28
Andreas Johnsson\\johnsan01,24
Ross Johnston\\johnsro02,24
Henri Jokiharju\\jokihhe01,19
Caleb Jones\\jonesca01,21
Max Jones\\jonesma03,20
Seth Jones\\jonesse01,24
Mathieu Joseph\\josepma01,21
Roman Josi\\josiro01,28
Tyson Jost\\jostty01,20
Noah Juulsen\\juulsno01,21
Nazem Kadri\\kadrina01,28
Dominik Kahun\\kahundo01,23
Vladislav Kamenev\\kamenvl01,22
David Kampf\\kampfda01,24
Steven Kampfer\\kampfst01,30
Evander Kane\\kaneev01,27
Patrick Kane\\kanepa01,30
Kasperi Kapanen\\kapanka01,22
Erik Karlsson\\karlser01,28
Melker Karlsson\\karlsme01,28
William Karlsson\\karlswi01,26
Ondrej Kase\\kaseon01,23
Zack Kassian\\kassiza01,28
Brady Keeper\\keepebr01,22
Duncan Keith\\keithdu01,35
Clayton Keller\\kellecl01,20
Adrian Kempe\\kempead01,22
Mario Kempe\\kempema01,30
Michal Kempny\\kempnmi01,28
Alexander Kerfoot\\kerfoal01,24
Ryan Kesler\\keslery01,34
Phil Kessel\\kesseph01,31
Jujhar Khaira\\khairju01,24
Alex Killorn\\killoal01,29
Bogdan Kiselevich\\kiselbo01,28
Oscar Klefbom\\klefbos01,25
John Klingberg\\klingjo01,26
Justin Kloos\\kloosju01,25
Corban Knight\\knighco01,28
Slater Koekkoek\\koekksl01,24
Slater Koekkoek\\koekksl01,24
Slater Koekkoek\\koekksl01,24
Mikko Koivu\\koivumi01,35
Leo Komarov\\komarle01,32
Travis Konecny\\konectr01,21
Anze Kopitar\\kopitan01,31
Kalle Kossila\\kossika01,25
Jesperi Kotkaniemi\\kotkaje01,18
Ilya Kovalchuk\\kovalil01,35
Chris Kreider\\kreidch01,27
David Krejci\\krejcda01,32
Niklas Kronwall\\kronwni01,38
Torey Krug\\krugto01,27
Marcus Kruger\\krugema01,28
Nikita Kucherov\\kucheni01,25
Ryan Kuffner\\kuffnry01,22
Karson Kuhlman\\kuhlmka01,23
Tom Kuhnhackl\\kuhnhto01,27
Dean Kukan\\kukande01,25
Brett Kulak\\kulakbr01,25
Dmitry Kulikov\\kulikdm01,28
Luke Kunin\\kuninlu01,21
Chris Kunitz\\kunitch01,39
Janne Kuokkanen\\kuokkja01,20
Sean Kuraly\\kuralse01,26
Evgeny Kuznetsov\\kuzneev01,26
Oliver Kylington\\kylinol01,21
Jordan Kyrou\\kyroujo01,20
Joel L'Esperance\\lespejo01,23
Kevin Labanc\\labanke01,23
Andrew Ladd\\laddan01,33
Paul Ladue\\laduepa01,26
Patrik Laine\\lainepa01,20
Maxime Lajoie\\lajoima01,21
Juho Lammikko\\lammiju01,23
Gabriel Landeskog\\landega01,26
Nick Lappin\\lappini01,26
Dylan Larkin\\larkidy01,22
Adam Larsson\\larssad01,26
Jacob Larsson\\larssja01,21
Johan Larsson\\larssjo02,26
Brian Lashoff\\lashobr01,28
Scott Laughton\\laughsc01,24
Jeremy Lauzon\\lauzoje01,21
Curtis Lazar\\lazarcu01,23
Nick Leddy\\leddyni01,27
Anders Lee\\leean01,28
Artturi Lehkonen\\lehkoar01,23
Jori Lehtera\\lehtejo01,31
Brendan Leipsic\\leipsbr01,24
Brendan Leipsic\\leipsbr01,24
Brendan Leipsic\\leipsbr01,24
Josh Leivo\\leivojo01,25
Josh Leivo\\leivojo01,25
Josh Leivo\\leivojo01,25
Brendan Lemieux\\lemiebr01,22
Brendan Lemieux\\lemiebr01,22
Brendan Lemieux\\lemiebr01,22
Kris Letang\\letankr01,31
Mark Letestu\\letesma01,33
Vinni Lettieri\\lettivi01,23
Tyler Lewington\\lewinty01,24
Trevor Lewis\\lewistr01,32
Oscar Lindberg\\lindbos02,27
Oscar Lindberg\\lindbos02,27
Oscar Lindberg\\lindbos02,27
Oskar Lindblom\\lindbos01,22
Esa Lindell\\lindees01,24
Ryan Lindgren\\lindgry01,20
Anton Lindholm\\lindhan01,24
Elias Lindholm\\lindhel01,24
Hampus Lindholm\\lindhha01,25
Par Lindholm\\lindhpa01,27
Par Lindholm\\lindhpa01,27
Par Lindholm\\lindhpa01,27
Bryan Little\\littlbr01,31
Blake Lizotte\\lizotbl01,21
Ryan Lomberg\\lombery01,24
Ben Lovejoy\\lovejbe01,34
Ben Lovejoy\\lovejbe01,34
Ben Lovejoy\\lovejbe01,34
Adam Lowry\\lowryad01,25
Milan Lucic\\lucicmi01,30
Matt Luff\\luffma01,21
Isac Lundestrom\\lundeis01,19
Ilya Lyubushkin\\lyubuil01,24
Olli Maatta\\maattol01,24
Kurtis MacDermid\\macdeku01,24
Andrew MacDonald\\macdoan01,32
Jacob MacDonald\\macdoja02,25
Mackenzie MacEachern\\maceama01,24
Zack MacEwen\\macewza01,22
Derek MacKenzie\\mackede01,37
Nathan MacKinnon\\mackina01,23
Saku Maenalanen\\maenasa01,24
Josh Mahura\\mahurjo01,20
Denis Malgin\\malgide01,22
Evgeni Malkin\\malkiev01,32
Brad Malone\\malonbr01,29
Maxim Mamin\\maminma01,24
Andrew Mangiapane\\mangian01,22
Brandon Manning\\mannibr01,28
Brandon Manning\\mannibr01,28
Brandon Manning\\mannibr01,28
Josh Manson\\mansojo01,27
Anthony Mantha\\manthan01,24
Brad Marchand\\marchbr03,30
Jonathan Marchessault\\audymjo01,28
Martin Marincin\\marinma01,26
Patrick Marleau\\marlepa01,39
Mitch Marner\\marnemi01,21
Cooper Marody\\marodco01,22
Pat Maroon\\maroopa01,30
Danick Martel\\marteda01,24
Matt Martin\\martima02,29
Alec Martinez\\martial01,31
Jordan Martinook\\martijo01,26
Andreas Martinsen\\martian01,28
Mike Matheson\\mathemi01,24
Auston Matthews\\matthau01,21
Scott Mayfield\\mayfisc01,26
Charlie McAvoy\\mcavoch01,21
Jake McCabe\\mccabja01,25
Jared McCann\\mccanja01,22
Jared McCann\\mccanja01,22
Jared McCann\\mccanja01,22
Max McCormick\\mccorma01,26
Ian McCoshen\\mccosia01,23
Connor McDavid\\mcdavco01,22
Ryan McDonagh\\mcdonry01,29
Brock McGinn\\mcginbr01,24
Jamie McGinn\\mcginja01,30
Dylan McIlrath\\mcilrdy01,26
Greg McKegg\\mckeggr01,26
Cody McLeod\\mcleoco01,34
Cody McLeod\\mcleoco01,34
Cody McLeod\\mcleoco01,34
Michael McLeod\\mcleomi01,20
Brayden McNabb\\mcnabbr01,28
Adam McQuaid\\mcquaad01,32
Adam McQuaid\\mcquaad01,32
Adam McQuaid\\mcquaad01,32
Wade Megan\\meganwa01,28
Jaycob Megna\\megnaja02,26
Timo Meier\\meierti01,22
Dakota Mermis\\mermida01,25
Jonathon Merrill\\merrijo01,26
Victor Mete\\metevi01,20
Marc Methot\\methoma01,33
Jacob Middleton\\middlja01,23
Sonny Milano\\milanso01,22
Colin Miller\\milleco02,26
J.T. Miller\\millejt01,25
Kevan Miller\\milleke03,31
Casey Mittelstadt\\mitteca01,20
Sean Monahan\\monahse01,24
Brandon Montour\\montobr01,24
Brandon Montour\\montobr01,24
Brandon Montour\\montobr01,24
John Moore\\moorejo01,28
Trevor Moore\\mooretr01,23
Samuel Morin\\morinsa01,23
Josh Morrissey\\morrijo04,23
Joseph Morrow\\morrojo02,26
Tyler Motte\\mottety01,23
Mirco Mueller\\muellmi01,23
Connor Murphy\\murphco02,25
Ryan Murphy\\murphry01,25
Ryan Murphy\\murphry01,25
Ryan Murphy\\murphry01,25
Ryan Murray\\murrary01,25
Jake Muzzin\\muzzija01,29
Jake Muzzin\\muzzija01,29
Jake Muzzin\\muzzija01,29
Philippe Myers\\myersph01,22
Tyler Myers\\myersty01,28
Vladislav Namestnikov\\namesvl01,26
Riley Nash\\nashri02,29
James Neal\\nealja01,31
Martin Necas\\necasma01,20
Brock Nelson\\nelsobr01,27
Casey Nelson\\nelsoca01,26
Patrik Nemeth\\nemetpa01,26
Valeri Nichushkin\\nichuva01,23
Nino Niederreiter\\niedeni01,26
Nino Niederreiter\\niedeni01,26
Nino Niederreiter\\niedeni01,26
Frans Nielsen\\nielsfr01,34
Matthew Nieto\\nietoma01,26
Boo Nieves\\nievecr01,25
Sami Niku\\nikusa01,22
Jacob Nilsson\\nilssja01,25
Matt Niskanen\\niskama01,32
Stefan Noesen\\noesest01,25
Nelson Nogier\\nogiene01,22
Jordan Nolan\\nolanjo01,29
Joakim Nordstrom\\nordsjo02,26
Tomas Nosek\\nosekto01,26
Ryan Nugent-Hopkins\\nugenry01,25
Darnell Nurse\\nurseda01,23
Markus Nutivaara\\nutivma01,24
Alexander Nylander\\nylanal01,20
William Nylander\\nylanwi01,22
Gustav Nyquist\\nyquigu01,29
Gustav Nyquist\\nyquigu01,29
Gustav Nyquist\\nyquigu01,29
Logan O'Connor\\oconnlo01,22
Danny O'Regan\\oregada01,25
Ryan O'Reilly\\oreilry01,27
Jordan Oesterle\\oestejo01,26
Kyle Okposo\\okposky01,30
Jamie Oleksiak\\oleksja01,26
Jamie Oleksiak\\oleksja01,26
Jamie Oleksiak\\oleksja01,26
Victor Olofsson\\olofsvi01,23
Dmitry Orlov\\orlovdm01,27
Brooks Orpik\\orpikbr01,38
T.J. Oshie\\oshietj01,32
Xavier Ouellet\\ouellxa01,25
Alex Ovechkin\\ovechal01,33
Igor Ozhiganov\\ozhigig01,26
Magnus Paajarvi\\paajama01,27
Max Pacioretty\\pacioma01,30
Jean-Gabriel Pageau\\pageaje01,26
Ondrej Palat\\palaton01,27
Kyle Palmieri\\palmiky01,27
Artemi Panarin\\panarar01,27
Richard Panik\\panikri01,27
Cedric Paquette\\paquece01,25
Colton Parayko\\parayco01,25
Zach Parise\\parisza01,34
David Pastrnak\\pastrda01,22
Greg Pateryn\\patergr01,28
Nolan Patrick\\patrino01,20
Nick Paul\\paulni01,23
Joe Pavelski\\paveljo01,34
Tanner Pearson\\pearsta01,26
Tanner Pearson\\pearsta01,26
Tanner Pearson\\pearsta01,26
Tanner Pearson\\pearsta01,26
Matthew Peca\\pecama01,25
Adam Pelech\\pelecad01,24
Anthony Peluso\\pelusan01,29
Brendan Perlini\\perlibr01,22
Brendan Perlini\\perlibr01,22
Brendan Perlini\\perlibr01,22
Mathieu Perreault\\perrema01,31
David Perron\\perroda01,30
Corey Perry\\perryco01,33
Brett Pesce\\pescebr01,24
Nic Petan\\petanni01,23
Nic Petan\\petanni01,23
Nic Petan\\petanni01,23
Alexander Petrovic\\petroal01,26
Alexander Petrovic\\petroal01,26
Alexander Petrovic\\petroal01,26
Jeff Petry\\petryje01,31
Elias Pettersson\\petteel01,20
Marcus Pettersson\\pettema01,22
